,행정구역,내국인방문객수,외국인방문객수,외국인/내국인
0,광주광역시 남구,55231596.0,36457.711,0.0006600879503826035
1,강원도 태백시,16766029.0,11570.25,0.0006901007984657548
2,광주광역시 북구,128785342.0,94970.214,0.0007374303047624783
3,대전광역시 중구,88174184.0,65054.549,0.0007377958723156429
4,충청남도 계룡시,12546334.5,9335.28,0.0007440643320963586
5,울산광역시 중구,64128032.5,48612.879,0.0007580597299628677
6,전라남도 화순군,23600587.5,18433.88,0.0007810771659815673
7,충청북도 청주시 상당구,59411250.5,47426.857,0.0007982807397733532
8,부산광역시 북구,64501279.5,52108.987,0.0008078752453274978
9,충청남도 청양군,9805187.0,8214.588,0.0008377798404048796
10,경상남도 창원시 마산회원구,52670404.5,45680.503,0.0008672897699124372
11,전라북도 임실군,9194241.0,8411.769,0.0009148954220364683
12,충청북도 청주시 서원구,65490075.0,60218.452,0.0009195050089650989
13,충청북도 영동군,16683394.0,15361.419,0.0009207610274024578
14,전라남도 장흥군,12269939.5,11633.99,0.0009481701193392192
15,경상남도 거창군,17328346.0,16445.771,0.0009490675567073742
16,전라남도 곡성군,9397416.0,8995.014,0.000957179505515133
17,경상남도 함양군,11732451.5,11343.265,0.0009668282029548556
18,전라북도 남원시,25216565.5,24381.68,0.0009668913873302849
19,대전광역시 대덕구,52603302.5,50963.093,0.0009688192675735521
20,전라북도 순창군,7302862.0,7223.108,0.0009890790761211152
21,충청남도 홍성군,29619751.0,30060.621,0.0010148843249897677
22,전라북도 장수군,5767226.5,5861.806,0.0010163994772877396
23,대구광역시 서구,46127343.5,47480.687,0.0010293392898292528
24,대전광역시 서구,152856879.0,158565.373,0.0010373453523148278
25,전라북도 익산시,84498547.0,88610.509,0.0010486631089644655
26,전라남도 강진군,11999687.0,12720.627,0.0010600799004174025
27,경상남도 의령군,8429963.5,8967.762,0.0010637960650719308
28,충청북도 제천시,34351383.5,36553.824,0.0010641150450315924
29,전라북도 전주시 덕진구,87826959.5,95578.261,0.0010882565164970785
30,전라남도 순천시,69500525.5,76685.666,0.0011033825348557976
31,경상북도 영주시,32553986.5,36100.01,0.0011089274734447654
32,경상남도 진주시,83567799.0,96464.172,0.0011543222766941608
33,충청북도 옥천군,21636184.5,25002.857,0.0011556037988121241
34,충청남도 예산군,30244753.0,34965.134,0.0011560727244160334
35,대구광역시 달서구,167328273.0,196388.572,0.0011736723775306042
36,강원도 철원군,13993126.0,16605.205,0.001186668725772926
37,경상북도 경산시,84747932.5,100585.607,0.001186879774323698
38,전라남도 함평군,9585877.0,11773.176,0.0012281793309052472
39,경상북도 포항시 북구,82388225.5,102332.88,0.0012420813699889678
