,행정구역,visit_rank,place_rank,money_rank,(외국인/내국인)방문객수,관광명소/면적,(외국인/내국인)지출액 평균,순위평균,코드
0,부산광역시 북구,9,40,10,0.0008078752453274978,5.079998482604453e-08,0.0012123167178465968,19.666666666666668,26320
1,대구광역시 서구,24,12,24,0.0010293392898292528,1.7307900834612944e-07,0.0023781320052721523,20.0,27170
2,광주광역시 남구,1,33,34,0.0006600879503826035,6.555417108423935e-08,0.0029934556992427374,22.666666666666668,29155
3,광주광역시 북구,3,26,62,0.0007374303047624783,9.145291628039969e-08,0.004137394106042812,30.333333333333332,29170
4,전라남도 장흥군,15,63,15,0.0009481701193392192,2.892300032053529e-08,0.001958255542651643,31.0,46800
5,울산광역시 중구,6,14,78,0.0007580597299628677,1.6211611855558233e-07,0.005471781834141479,32.666666666666664,31110
6,대전광역시 중구,4,29,77,0.0007377958723156429,8.041276205278786e-08,0.005421188166944573,36.666666666666664,30140
7,전라남도 화순군,7,94,11,0.0007810771659815673,1.778880768562895e-08,0.0013716216033320021,37.333333333333336,46790
8,대전광역시 대덕구,20,30,66,0.0009688192675735521,7.27664017881837e-08,0.004429416299500681,38.666666666666664,30230
9,전라남도 강진군,27,85,5,0.0010600799004174025,1.996368573622683e-08,0.0009859577743850925,39.0,46810
10,전라북도 순창군,21,75,22,0.0009890790761211152,2.2186630975633126e-08,0.002141151452791996,39.333333333333336,45770
11,충청남도 서천군,68,22,31,0.0015472517183170136,9.832954319559799e-08,0.0028218363402926247,40.333333333333336,44770
12,충청북도 청주시 상당구,8,74,43,0.0007982807397733532,2.2257278645125652e-08,0.0033203912145740367,41.666666666666664,43111
13,강원도 태백시,2,41,82,0.0006901007984657548,4.9419943608872555e-08,0.005675822862688338,41.666666666666664,42190
14,전라남도 담양군,42,49,45,0.0012540632083247476,4.174983650681623e-08,0.0034967683203749947,45.333333333333336,46710
15,충청북도 증평군,56,42,40,0.0013800622609663525,4.890116131993839e-08,0.003187713881958853,46.0,43745
16,전라남도 곡성군,17,120,7,0.000957179505515133,1.2786158676656967e-08,0.0010927943963534238,48.0,46720
17,경상남도 창원시 의창구,54,32,59,0.0013543159868266007,7.116624097274913e-08,0.004079421958415304,48.333333333333336,48121
18,충청남도 예산군,35,83,29,0.0011560727244160334,2.0270960659594724e-08,0.002715402268208557,49.0,44810
19,충청남도 청양군,10,134,8,0.0008377798404048796,1.043623536678066e-08,0.0011396416563893973,50.666666666666664,44790
20,전라남도 목포시,45,9,99,0.0012735409014423284,2.1309235145492e-07,0.008910586147744124,51.0,46110
21,전라북도 임실군,12,125,17,0.0009148954220364683,1.1720919521273175e-08,0.0020136890393199973,51.333333333333336,45750
22,경상남도 거창군,16,114,35,0.0009490675567073742,1.3693293517743782e-08,0.0029954591806584598,55.0,48880
23,전라북도 전주시 덕진구,30,45,91,0.0010882565164970785,4.40389442584761e-08,0.007210038449211524,55.333333333333336,45113
24,강원도 철원군,37,92,39,0.001186668725772926,1.7983947540789052e-08,0.0031703753277128647,56.0,42780
25,강원도 양구군,57,91,20,0.0013856260911978046,1.813184282300357e-08,0.002038829813654453,56.0,42800
26,전라북도 고창군,87,61,25,0.0018733081160766385,3.127650704548755e-08,0.002470068648129276,57.666666666666664,45790
27,전라남도 함평군,39,135,3,0.0012281793309052472,1.0201400842438774e-08,0.0008592709579020302,59.0,46860
28,충청남도 계룡시,5,100,75,0.0007440643320963586,1.6474775402187656e-08,0.005269854887456057,60.0,44250
29,대구광역시 달서구,36,36,111,0.0011736723775306042,6.416456928730807e-08,0.012141972916662332,61.0,27290
30,전라북도 익산시,26,70,90,0.0010486631089644655,2.3690271149158203e-08,0.006947042205989997,62.0,45140
31,충청북도 청주시 서원구,13,149,30,0.0009195050089650989,8.154302921765998e-09,0.002741592961570151,64.0,43112
32,전라북도 부안군,104,47,42,0.0022492751765274648,4.258112620949576e-08,0.003258096065252331,64.33333333333333,45800
33,대전광역시 서구,25,48,121,0.0010373453523148278,4.187362667393735e-08,0.013803738127432826,64.66666666666667,30170
34,경상남도 의령군,28,162,6,0.0010637960650719308,6.2123270265469775e-09,0.0010099888990977286,65.33333333333333,48720
35,전라북도 남원시,19,109,70,0.0009668913873302849,1.4623931172101013e-08,0.004926841109092287,66.0,45190
36,전라북도 장수군,23,128,49,0.0010163994772877396,1.1252767502122982e-08,0.003596993749917054,66.66666666666667,45740
37,부산광역시 동래구,47,11,145,0.0013081651916026075,1.8037763464759017e-07,0.02123921428049279,67.66666666666667,26260
38,광주광역시 동구,41,28,135,0.0012518921008513575,8.11155595785268e-08,0.0167003684104245,68.0,29110
39,대구광역시 남구,60,5,143,0.001417759238951811,4.0157113213899466e-07,0.02041656880591108,69.33333333333333,27200
40,충청북도 영동군,14,166,28,0.0009207610274024578,4.7280418630301555e-09,0.002661810770483873,69.33333333333333,43740
41,대구광역시 달성군,72,55,81,0.0016546986668110456,3.515411885844385e-08,0.005664570969070689,69.33333333333333,27710
42,전라남도 장성군,46,151,12,0.0012963934293374634,7.716021086173442e-09,0.0017577720645417215,69.66666666666667,46880
43,전라북도 김제시,59,140,14,0.0014171055442809709,9.159786226681381e-09,0.0019471439738677559,71.0,45210
44,경상북도 고령군,107,105,2,0.0023420237039346666,1.562256704555877e-08,0.000772927371222456,71.33333333333333,47830
45,경상남도 산청군,55,122,37,0.001360404022753384,1.2584876894713454e-08,0.003066387739870996,71.33333333333333,48860
46,충청남도 홍성군,22,129,65,0.0010148843249897677,1.1193232550109196e-08,0.004424541877457445,72.0,44800
47,경상남도 합천군,81,116,21,0.001811522468778379,1.3218002408088828e-08,0.002054668644199193,72.66666666666667,48890
48,경상북도 예천군,48,153,18,0.0013273202337109572,7.558763102165134e-09,0.0020147567129713286,73.0,47900
49,충청북도 제천시,29,97,94,0.0010641150450315924,1.6979425563110977e-08,0.00764751788133676,73.33333333333333,43150
50,경상북도 군위군,50,170,1,0.0013336358287359565,3.2556071123517905e-09,0.0007143986265739275,73.66666666666667,47720
51,광주광역시 서구,67,27,128,0.0015177544554396503,8.377292986299307e-08,0.015539923702606935,74.0,29140
52,경상북도 영주시,32,124,67,0.0011089274734447654,1.1938711414368998e-08,0.004540010010169757,74.33333333333333,47210
53,전라남도 보성군,77,99,53,0.0017548614485590618,1.6565957155481573e-08,0.0037166694595340602,76.33333333333333,46780
54,충청북도 단양군,94,119,16,0.00196939550998949,1.2817905533634867e-08,0.0020071517943499166,76.33333333333333,43800
55,경상남도 창원시 마산회원구,11,171,48,0.0008672897699124372,0.0,0.00358217597594983,76.66666666666667,48127
56,강원도 원주시,62,76,93,0.0014367678819349518,2.188334423217168e-08,0.007322915386188265,77.0,42130
57,경상북도 영천시,49,132,50,0.001333551722393552,1.0878964413240094e-08,0.0036562293011284607,77.0,47230
58,경상북도 성주군,83,127,26,0.0018402858041450091,1.1361673070218682e-08,0.002480151054637465,78.66666666666667,47840
59,충청남도 공주시,78,102,56,0.001774870915364144,1.6200839674638703e-08,0.0037976395220237834,78.66666666666667,44150
60,전라북도 전주시 완산구,80,35,122,0.001788154326168972,6.486138156325346e-08,0.013884906914915797,79.0,45111
61,경상남도 고성군,102,95,41,0.0021736855870634012,1.7375954728251993e-08,0.003242199558235572,79.33333333333333,48820
62,충청북도 충주시,52,81,106,0.001349720931889615,2.033600045100531e-08,0.01062194487583037,79.66666666666667,43130
63,대구광역시 수성구,44,34,161,0.0012671439740505506,6.532929345344766e-08,0.05077998494125179,79.66666666666667,27260
64,경상남도 밀양시,74,101,64,0.0016991065761867432,1.6277035674047414e-08,0.004358216255237972,79.66666666666667,48270
65,경상북도 울릉군,172,7,61,0.03249131840002146,2.193517528904453e-07,0.004121724817455508,80.0,47940
66,경상남도 창원시 마산합포구,63,80,97,0.0014463044153028267,2.0733309859826308e-08,0.00796129652570715,80.0,48125
67,대전광역시 동구,53,39,148,0.0013515675606247711,5.8530979825364084e-08,0.026226505499342977,80.0,30110
68,전라북도 정읍시,84,103,54,0.0018410138005734388,1.587211987238111e-08,0.00372097408334069,80.33333333333333,45180
69,강원도 화천군,124,113,9,0.0028551837203726464,1.4302502350793667e-08,0.0011559337325483532,82.0,42790
70,경상남도 함양군,18,147,85,0.0009668282029548556,8.270327069870736e-09,0.006107122460480421,83.33333333333333,48870
71,전라남도 고흥군,106,73,72,0.0023333145229101344,2.2294547896242087e-08,0.005183500023700641,83.66666666666667,46770
72,경상남도 진주시,33,98,120,0.0011543222766941608,1.683359519917177e-08,0.013229196995246982,83.66666666666667,48170
73,경상북도 안동시,43,110,102,0.0012561530219246568,1.4453727330163633e-08,0.009758708733232315,85.0,47170
74,전라남도 신안군,173,60,23,0.05688130676324868,3.20316662343429e-08,0.0022571013234328596,85.33333333333333,46910
75,강원도 강릉시,92,53,112,0.001937524829175274,3.651094269679749e-08,0.012271620775313382,85.66666666666667,42150
76,강원도 영월군,93,86,79,0.0019451711054176452,1.9515835170523966e-08,0.005532130549376232,86.0,42750
77,충청남도 태안군,164,38,57,0.016694561789583232,6.009067996077616e-08,0.0038581583512272114,86.33333333333333,44825
78,경상북도 의성군,65,164,32,0.001463747875810656,5.958794685332804e-09,0.0029174906086995634,87.0,47730
79,경상남도 함안군,71,138,52,0.0016425443481217447,9.601489902362228e-09,0.0036845018190909667,87.0,48730
80,경상북도 청도군,101,157,4,0.002149023812254142,7.206580775368082e-09,0.0009420741247529183,87.33333333333333,47820
81,경상북도 영덕군,138,67,58,0.003951386714726533,2.5633409557226745e-08,0.004008764722048696,87.66666666666667,47770
82,경상남도 양산시,64,111,95,0.001455031222112157,1.44150272679073e-08,0.007699398182277283,90.0,48330
83,대전광역시 유성구,79,44,149,0.0017850818893218323,4.531832703491577e-08,0.028487734411035182,90.66666666666667,30200
84,강원도 동해시,126,37,109,0.0030427354135430388,6.10426146844852e-08,0.011806713402548212,90.66666666666667,42170
85,경상남도 하동군,98,87,87,0.0020920372846818937,1.9252500008841707e-08,0.006150785436077551,90.66666666666667,48850
86,충청북도 보은군,86,159,27,0.0018673463099936494,6.8468819586444705e-09,0.0025060457662712306,90.66666666666667,43720
87,경상남도 창녕군,117,117,38,0.002633875688873911,1.3137380978204487e-08,0.003165408662515558,90.66666666666667,48740
88,전라남도 순천시,31,161,80,0.0011033825348557976,6.5857711675561285e-09,0.005622867713018248,90.66666666666667,46150
89,경상남도 창원시 진해구,133,23,118,0.0034421533219269437,9.762428750001873e-08,0.012741294566543904,91.33333333333333,48129
90,경상북도 청송군,95,146,33,0.0019728433568140763,8.273051949102272e-09,0.002940145057525361,91.33333333333333,47750
91,대구광역시 북구,58,78,139,0.001393257393100666,2.1280238831014514e-08,0.018198402904171143,91.66666666666667,27230
92,울산광역시 울주군,146,79,51,0.00524596352061425,2.1104559633949022e-08,0.0036637202064319497,92.0,31710
93,충청남도 천안시 동남구,97,72,107,0.002006757518299912,2.2810907280579083e-08,0.010739935442623525,92.0,44131
94,충청북도 옥천군,34,154,89,0.0011556037988121241,7.445722889190711e-09,0.006725218054165064,92.33333333333333,43730
95,충청남도 논산시,76,158,44,0.0017229064984000274,7.199677859341784e-09,0.0033662471456420624,92.66666666666667,44230
96,울산광역시 북구,144,121,13,0.004889638404384348,1.2709945404289707e-08,0.001909299794365543,92.66666666666667,31200
97,부산광역시 사하구,154,18,108,0.008320124234649394,1.1970319926910182e-07,0.011576920349440948,93.33333333333333,26380
98,경상북도 경산시,38,156,86,0.001186879774323698,7.285852990348757e-09,0.006130614740367135,93.33333333333333,47290
99,충청남도 보령시,135,57,88,0.0035485827560469284,3.4097208742020977e-08,0.0062794455850191675,93.33333333333333,44180
100,전라남도 구례군,66,82,134,0.0014644849772333943,2.030487056544521e-08,0.016216039252254653,94.0,46730
101,부산광역시 수영구,136,6,142,0.003650929893855114,2.937596807278785e-07,0.01998319260400624,94.66666666666667,26500
102,경상남도 사천시,85,59,141,0.0018487358917853801,3.260800640725454e-08,0.019337706004849808,95.0,48240
103,강원도 삼척시,119,107,60,0.0026547877467277933,1.515356830695439e-08,0.004113215121593384,95.33333333333333,42230
